x y
1.0000000000E+00 3.5187579727E-02
2.0000000000E+00 4.5715658982E-02
3.0000000000E+00 4.0418582310E-02
4.0000000000E+00 9.0920195504E-02
5.0000000000E+00 2.7176436480E-01
6.0000000000E+00 2.8467282977E-02
7.0000000000E+00 5.0186207319E-03
8.0000000000E+00 4.4310213272E-03
9.0000000000E+00 2.0422625062E-03
1.0000000000E+01 1.3011261435E-03
1.1000000000E+01 1.0918185233E-03
1.2000000000E+01 9.7454185072E-04
1.3000000000E+01 8.9833872646E-04
1.4000000000E+01 8.3207252222E-04
1.5000000000E+01 7.8094566985E-04
1.6000000000E+01 7.4808415646E-04
1.7000000000E+01 7.2915806887E-04
1.8000000000E+01 7.1836145925E-04
1.9000000000E+01 7.1150806445E-04
2.0000000000E+01 7.0675457393E-04
2.1000000000E+01 7.0327458275E-04
2.2000000000E+01 7.0064765256E-04
2.3000000000E+01 6.9860563359E-04
2.4000000000E+01 6.9699086129E-04
2.5000000000E+01 6.9569742244E-04
2.6000000000E+01 6.9464063906E-04
2.7000000000E+01 6.9376456091E-04
2.8000000000E+01 6.9303326773E-04
2.9000000000E+01 6.9242188598E-04
3.0000000000E+01 6.9191435010E-04
3.1000000000E+01 6.9149290405E-04
3.2000000000E+01 6.9114157120E-04
3.3000000000E+01 6.9084719223E-04
3.4000000000E+01 6.9059950987E-04
3.5000000000E+01 6.9039065131E-04
3.6000000000E+01 6.9021443910E-04
3.7000000000E+01 6.9006584214E-04
3.8000000000E+01 6.8994063544E-04
3.9000000000E+01 6.8983521531E-04
4.0000000000E+01 6.8974649829E-04
4.1000000000E+01 6.8967185462E-04
4.2000000000E+01 6.8960905261E-04
4.3000000000E+01 6.8955620657E-04
4.4000000000E+01 6.8951172802E-04
4.5000000000E+01 6.8947428125E-04
4.6000000000E+01 6.8944274423E-04
4.7000000000E+01 6.8941617488E-04
4.8000000000E+01 6.8939378241E-04
4.9000000000E+01 6.8937490304E-04
5.0000000000E+01 6.8935897961E-04
5.1000000000E+01 6.8934554434E-04
5.2000000000E+01 6.8933420437E-04
5.3000000000E+01 6.8932462968E-04
5.4000000000E+01 6.8931654287E-04
5.5000000000E+01 6.8930971069E-04
5.6000000000E+01 6.8930393690E-04
5.7000000000E+01 6.8929905629E-04
5.8000000000E+01 6.8929492975E-04
5.9000000000E+01 6.8929144002E-04
6.0000000000E+01 6.8928848829E-04
6.1000000000E+01 6.8928599117E-04
6.2000000000E+01 6.8928387834E-04
6.3000000000E+01 6.8928209041E-04
6.4000000000E+01 6.8928057725E-04
6.5000000000E+01 6.8927929650E-04
6.6000000000E+01 6.8927821237E-04
6.7000000000E+01 6.8927729461E-04
6.8000000000E+01 6.8927651767E-04
6.9000000000E+01 6.8927585990E-04
7.0000000000E+01 6.8927530303E-04
7.1000000000E+01 6.8927483159E-04
7.2000000000E+01 6.8927443248E-04
7.3000000000E+01 6.8927409463E-04
7.4000000000E+01 6.8927380867E-04
7.5000000000E+01 6.8927356665E-04
7.6000000000E+01 6.8927336187E-04
7.7000000000E+01 6.8927318862E-04
7.8000000000E+01 6.8927304210E-04
7.9000000000E+01 6.8927291823E-04
8.0000000000E+01 6.8927281353E-04
8.1000000000E+01 6.8927272510E-04
8.2000000000E+01 6.8927265045E-04
8.3000000000E+01 6.8927258746E-04
8.4000000000E+01 6.8927253437E-04
8.5000000000E+01 6.8927248966E-04
8.6000000000E+01 6.8927245205E-04
8.7000000000E+01 6.8927242045E-04
8.8000000000E+01 6.8927239394E-04
8.9000000000E+01 6.8927237175E-04
9.0000000000E+01 6.8927235320E-04
9.1000000000E+01 6.8927233773E-04
9.2000000000E+01 6.8927232486E-04
9.3000000000E+01 6.8927231420E-04
9.4000000000E+01 6.8927230539E-04
9.5000000000E+01 6.8927229815E-04
9.6000000000E+01 6.8927229221E-04
9.7000000000E+01 6.8927228738E-04
9.8000000000E+01 6.8927228347E-04
9.9000000000E+01 6.8927228032E-04
1.0000000000E+02 6.8927227782E-04
