x y
1.0000000000E+00 3.5187579727E-02
2.0000000000E+00 4.3089482909E-02
3.0000000000E+00 3.5140236979E-02
4.0000000000E+00 5.2875942462E-02
5.0000000000E+00 5.5273912490E-01
6.0000000000E+00 9.2389311046E-02
7.0000000000E+00 1.4840074874E-01
8.0000000000E+00 4.9575869910E-02
9.0000000000E+00 7.3839270722E-03
1.0000000000E+01 2.9892937254E-03
1.1000000000E+01 1.7484395041E-03
1.2000000000E+01 1.5372296312E-03
1.3000000000E+01 1.3108944384E-03
1.4000000000E+01 1.1938366532E-03
1.5000000000E+01 1.1492500260E-03
1.6000000000E+01 1.1277324933E-03
1.7000000000E+01 1.1108744073E-03
1.8000000000E+01 1.0973684452E-03
1.9000000000E+01 1.0880913366E-03
2.0000000000E+01 1.0825637855E-03
2.1000000000E+01 1.0795945771E-03
2.2000000000E+01 1.0780891559E-03
2.3000000000E+01 1.0773099409E-03
2.4000000000E+01 1.0768634588E-03
2.5000000000E+01 1.0765826104E-03
2.6000000000E+01 1.0763873951E-03
2.7000000000E+01 1.0762297095E-03
2.8000000000E+01 1.0760825144E-03
2.9000000000E+01 1.0759336258E-03
3.0000000000E+01 1.0757789966E-03
3.1000000000E+01 1.0756174238E-03
3.2000000000E+01 1.0754474444E-03
3.3000000000E+01 1.0752663987E-03
3.4000000000E+01 1.0750710592E-03
3.5000000000E+01 1.0748587845E-03
3.6000000000E+01 1.0746283361E-03
3.7000000000E+01 1.0743799559E-03
3.8000000000E+01 1.0741148461E-03
3.9000000000E+01 1.0738346288E-03
4.0000000000E+01 1.0735412029E-03
4.1000000000E+01 1.0732367634E-03
4.2000000000E+01 1.0729237183E-03
4.3000000000E+01 1.0726047911E-03
4.4000000000E+01 1.0722831572E-03
4.5000000000E+01 1.0719621957E-03
4.6000000000E+01 1.0716450924E-03
4.7000000000E+01 1.0713344999E-03
4.8000000000E+01 1.0710321762E-03
4.9000000000E+01 1.0707387715E-03
5.0000000000E+01 1.0704541437E-03
5.1000000000E+01 1.0701781370E-03
5.2000000000E+01 1.0699110990E-03
5.3000000000E+01 1.0696536989E-03
5.4000000000E+01 1.0694064422E-03
5.5000000000E+01 1.0691693645E-03
5.6000000000E+01 1.0689419827E-03
5.7000000000E+01 1.0687233538E-03
5.8000000000E+01 1.0685121251E-03
5.9000000000E+01 1.0683065476E-03
6.0000000000E+01 1.0681044809E-03
6.1000000000E+01 1.0679034354E-03
6.2000000000E+01 1.0677006748E-03
6.3000000000E+01 1.0674933245E-03
6.4000000000E+01 1.0672784064E-03
6.5000000000E+01 1.0670528064E-03
6.6000000000E+01 1.0668132283E-03
6.7000000000E+01 1.0665560956E-03
6.8000000000E+01 1.0662773800E-03
6.9000000000E+01 1.0659724388E-03
7.0000000000E+01 1.0656359230E-03
7.1000000000E+01 1.0652617206E-03
7.2000000000E+01 1.0648428599E-03
7.3000000000E+01 1.0643713369E-03
7.4000000000E+01 1.0638379301E-03
7.5000000000E+01 1.0632321651E-03
7.6000000000E+01 1.0625425472E-03
7.7000000000E+01 1.0617569443E-03
7.8000000000E+01 1.0608627936E-03
7.9000000000E+01 1.0598468866E-03
8.0000000000E+01 1.0586948718E-03
8.1000000000E+01 1.0573908985E-03
8.2000000000E+01 1.0559177347E-03
8.3000000000E+01 1.0542573138E-03
8.4000000000E+01 1.0523913376E-03
8.5000000000E+01 1.0503019011E-03
8.6000000000E+01 1.0479724942E-03
8.7000000000E+01 1.0453885173E-03
8.8000000000E+01 1.0425364134E-03
8.9000000000E+01 1.0394033856E-03
9.0000000000E+01 1.0359800263E-03
9.1000000000E+01 1.0322642132E-03
9.2000000000E+01 1.0282615140E-03
9.3000000000E+01 1.0239809011E-03
9.4000000000E+01 1.0194300214E-03
9.5000000000E+01 1.0146167745E-03
9.6000000000E+01 1.0095618568E-03
9.7000000000E+01 1.0043083432E-03
9.8000000000E+01 9.9890654316E-04
9.9000000000E+01 9.9338833844E-04
1.0000000000E+02 9.8776081124E-04
