x y
1.0000000000E+00 3.3437536411E-02
2.0000000000E+00 6.6399859342E-02
3.0000000000E+00 6.5444816351E-02
4.0000000000E+00 6.6657032782E-02
5.0000000000E+00 6.6204660566E-02
6.0000000000E+00 6.5791570907E-02
7.0000000000E+00 6.5593746165E-02
8.0000000000E+00 6.5502736567E-02
9.0000000000E+00 6.5443810084E-02
1.0000000000E+01 6.5391934179E-02
1.1000000000E+01 6.5345966904E-02
1.2000000000E+01 6.5309601789E-02
1.3000000000E+01 6.5285032125E-02
1.4000000000E+01 6.5273147023E-02
1.5000000000E+01 6.5274731099E-02
1.6000000000E+01 6.5289420378E-02
1.7000000000E+01 6.5310525936E-02
1.8000000000E+01 6.5321163051E-02
1.9000000000E+01 6.5307145439E-02
2.0000000000E+01 6.5274692354E-02
2.1000000000E+01 6.5237139277E-02
2.2000000000E+01 6.5195466622E-02
2.3000000000E+01 6.5141334148E-02
2.4000000000E+01 6.5064762909E-02
2.5000000000E+01 6.4956120793E-02
2.6000000000E+01 6.4806539588E-02
2.7000000000E+01 6.4610341398E-02
2.8000000000E+01 6.4370779928E-02
2.9000000000E+01 6.4110093950E-02
3.0000000000E+01 6.3875037826E-02
3.1000000000E+01 6.3719416946E-02
3.2000000000E+01 6.3669589572E-02
3.3000000000E+01 6.3693808060E-02
3.4000000000E+01 6.3723106803E-02
3.5000000000E+01 6.3704429427E-02
3.6000000000E+01 6.3630910631E-02
3.7000000000E+01 6.3528407401E-02
3.8000000000E+01 6.3427676626E-02
3.9000000000E+01 6.3346913837E-02
4.0000000000E+01 6.3290145986E-02
4.1000000000E+01 6.3253814758E-02
4.2000000000E+01 6.3233017026E-02
4.3000000000E+01 6.3223282594E-02
4.4000000000E+01 6.3220481414E-02
4.5000000000E+01 6.3221571678E-02
4.6000000000E+01 6.3224948380E-02
4.7000000000E+01 6.3229570349E-02
4.8000000000E+01 6.3234491988E-02
4.9000000000E+01 6.3239220449E-02
5.0000000000E+01 6.3243605696E-02
5.1000000000E+01 6.3247680511E-02
5.2000000000E+01 6.3251576585E-02
5.3000000000E+01 6.3255360536E-02
5.4000000000E+01 6.3258948203E-02
5.5000000000E+01 6.3262211782E-02
5.6000000000E+01 6.3265149520E-02
5.7000000000E+01 6.3267855365E-02
5.8000000000E+01 6.3270396404E-02
5.9000000000E+01 6.3272779377E-02
6.0000000000E+01 6.3274983564E-02
6.1000000000E+01 6.3276994106E-02
6.2000000000E+01 6.3278811638E-02
6.3000000000E+01 6.3280444132E-02
6.4000000000E+01 6.3281895916E-02
6.5000000000E+01 6.3283165188E-02
6.6000000000E+01 6.3284251150E-02
6.7000000000E+01 6.3285161846E-02
6.8000000000E+01 6.3285914775E-02
6.9000000000E+01 6.3286531469E-02
7.0000000000E+01 6.3287032081E-02
7.1000000000E+01 6.3287433158E-02
7.2000000000E+01 6.3287747564E-02
7.3000000000E+01 6.3287985377E-02
7.4000000000E+01 6.3288155632E-02
7.5000000000E+01 6.3288267487E-02
7.6000000000E+01 6.3288329700E-02
7.7000000000E+01 6.3288349464E-02
7.8000000000E+01 6.3288331985E-02
7.9000000000E+01 6.3288280955E-02
8.0000000000E+01 6.3288199183E-02
8.1000000000E+01 6.3288088888E-02
8.2000000000E+01 6.3287951638E-02
8.3000000000E+01 6.3287788268E-02
8.4000000000E+01 6.3287598967E-02
8.5000000000E+01 6.3287383390E-02
8.6000000000E+01 6.3287140434E-02
8.7000000000E+01 6.3286867830E-02
8.8000000000E+01 6.3286562601E-02
8.9000000000E+01 6.3286223058E-02
9.0000000000E+01 6.3285850964E-02
9.1000000000E+01 6.3285451610E-02
9.2000000000E+01 6.3285031511E-02
9.3000000000E+01 6.3284595617E-02
9.4000000000E+01 6.3284145736E-02
9.5000000000E+01 6.3283680564E-02
9.6000000000E+01 6.3283197039E-02
9.7000000000E+01 6.3282692709E-02
9.8000000000E+01 6.3282168203E-02
9.9000000000E+01 6.3281628141E-02
1.0000000000E+02 6.3281079560E-02
