x y
1.0000000000E+00 3.5187579727E-02
2.0000000000E+00 3.5193055186E-02
3.0000000000E+00 3.4984571197E-02
4.0000000000E+00 1.9536043636E-02
5.0000000000E+00 1.3522866942E-02
6.0000000000E+00 1.0127355565E-02
7.0000000000E+00 8.9609736861E-03
8.0000000000E+00 6.8320432347E-03
9.0000000000E+00 4.9965426357E-03
1.0000000000E+01 4.0146372014E-03
1.1000000000E+01 3.2575116055E-03
1.2000000000E+01 2.5215305991E-03
1.3000000000E+01 1.8711923735E-03
1.4000000000E+01 1.4988529557E-03
1.5000000000E+01 1.3050677187E-03
1.6000000000E+01 1.1753933094E-03
1.7000000000E+01 1.0733810185E-03
1.8000000000E+01 9.9803447630E-04
1.9000000000E+01 8.1841107465E-04
2.0000000000E+01 6.2183191897E-04
2.1000000000E+01 4.8142140447E-04
2.2000000000E+01 4.0110915214E-04
2.3000000000E+01 3.5944825512E-04
2.4000000000E+01 3.3864479182E-04
2.5000000000E+01 3.2813468499E-04
2.6000000000E+01 3.2267831473E-04
2.7000000000E+01 3.1980081868E-04
2.8000000000E+01 3.1823248353E-04
2.9000000000E+01 3.1735975597E-04
3.0000000000E+01 3.1686494981E-04
3.1000000000E+01 3.1657998209E-04
3.2000000000E+01 3.1641396086E-04
3.3000000000E+01 3.1631639496E-04
3.4000000000E+01 3.1625868194E-04
3.5000000000E+01 3.1622437616E-04
3.6000000000E+01 3.1620391177E-04
3.7000000000E+01 3.1619167423E-04
3.8000000000E+01 3.1618434503E-04
3.9000000000E+01 3.1617995222E-04
4.0000000000E+01 3.1617731924E-04
4.1000000000E+01 3.1617574203E-04
4.2000000000E+01 3.1617479842E-04
4.3000000000E+01 3.1617423491E-04
4.4000000000E+01 3.1617389921E-04
4.5000000000E+01 3.1617369983E-04
4.6000000000E+01 3.1617358181E-04
4.7000000000E+01 3.1617351220E-04
4.8000000000E+01 3.1617347129E-04
4.9000000000E+01 3.1617344729E-04
5.0000000000E+01 3.1617343320E-04
5.1000000000E+01 3.1617342487E-04
5.2000000000E+01 3.1617341987E-04
5.3000000000E+01 3.1617341677E-04
5.4000000000E+01 3.1617341475E-04
5.5000000000E+01 3.1617341336E-04
5.6000000000E+01 3.1617341233E-04
5.7000000000E+01 3.1617341153E-04
5.8000000000E+01 3.1617341089E-04
5.9000000000E+01 3.1617341037E-04
6.0000000000E+01 3.1617340997E-04
6.1000000000E+01 3.1617340969E-04
6.2000000000E+01 3.1617340953E-04
6.3000000000E+01 3.1617340950E-04
6.4000000000E+01 3.1617340959E-04
6.5000000000E+01 3.1617340982E-04
6.6000000000E+01 3.1617341019E-04
6.7000000000E+01 3.1617341071E-04
6.8000000000E+01 3.1617341137E-04
6.9000000000E+01 3.1617341217E-04
7.0000000000E+01 3.1617341313E-04
7.1000000000E+01 3.1617341423E-04
7.2000000000E+01 3.1617341548E-04
7.3000000000E+01 3.1617341688E-04
7.4000000000E+01 3.1617341843E-04
7.5000000000E+01 3.1617342012E-04
7.6000000000E+01 3.1617342196E-04
7.7000000000E+01 3.1617342395E-04
7.8000000000E+01 3.1617342607E-04
7.9000000000E+01 3.1617342834E-04
8.0000000000E+01 3.1617343075E-04
8.1000000000E+01 3.1617343330E-04
8.2000000000E+01 3.1617343599E-04
8.3000000000E+01 3.1617343881E-04
8.4000000000E+01 3.1617344177E-04
8.5000000000E+01 3.1617344486E-04
8.6000000000E+01 3.1617344808E-04
8.7000000000E+01 3.1617345143E-04
8.8000000000E+01 3.1617345492E-04
8.9000000000E+01 3.1617345853E-04
9.0000000000E+01 3.1617346226E-04
9.1000000000E+01 3.1617346613E-04
9.2000000000E+01 3.1617347011E-04
9.3000000000E+01 3.1617347422E-04
9.4000000000E+01 3.1617347845E-04
9.5000000000E+01 3.1617348280E-04
9.6000000000E+01 3.1617348726E-04
9.7000000000E+01 3.1617349185E-04
9.8000000000E+01 3.1617349655E-04
9.9000000000E+01 3.1617350136E-04
1.0000000000E+02 3.1617350628E-04
