x y
1.0000000000E+00 3.2217840855E-02
2.0000000000E+00 3.2217922253E-02
3.0000000000E+00 3.2218433781E-02
4.0000000000E+00 3.2219028785E-02
5.0000000000E+00 3.2219386164E-02
6.0000000000E+00 3.2212947940E-02
7.0000000000E+00 3.2070469481E-02
8.0000000000E+00 2.9854209830E-02
9.0000000000E+00 1.6415451987E-02
1.0000000000E+01 7.1580883539E-03
1.1000000000E+01 5.6971719270E-03
1.2000000000E+01 5.6820172551E-03
1.3000000000E+01 5.6780984454E-03
1.4000000000E+01 5.6870562620E-03
1.5000000000E+01 5.7671987916E-03
1.6000000000E+01 5.8406399878E-03
1.7000000000E+01 5.8347798410E-03
1.8000000000E+01 5.7880492660E-03
1.9000000000E+01 5.7629667184E-03
2.0000000000E+01 5.7183617017E-03
2.1000000000E+01 5.6677785910E-03
2.2000000000E+01 5.6196926034E-03
2.3000000000E+01 5.5779211919E-03
2.4000000000E+01 5.5438463548E-03
2.5000000000E+01 5.5163555382E-03
2.6000000000E+01 5.4939835924E-03
2.7000000000E+01 5.4769251690E-03
2.8000000000E+01 5.4643507111E-03
2.9000000000E+01 5.4545142747E-03
3.0000000000E+01 5.4465411878E-03
3.1000000000E+01 5.4403011967E-03
3.2000000000E+01 5.4354594681E-03
3.3000000000E+01 5.4317093124E-03
3.4000000000E+01 5.4288052549E-03
3.5000000000E+01 5.4265558071E-03
3.6000000000E+01 5.4248126388E-03
3.7000000000E+01 5.4234611082E-03
3.8000000000E+01 5.4224126653E-03
3.9000000000E+01 5.4215989091E-03
4.0000000000E+01 5.4209669822E-03
4.1000000000E+01 5.4204760161E-03
4.2000000000E+01 5.4200943920E-03
4.3000000000E+01 5.4197976309E-03
4.4000000000E+01 5.4195667688E-03
4.5000000000E+01 5.4193871048E-03
4.6000000000E+01 5.4192472356E-03
4.7000000000E+01 5.4191383108E-03
4.8000000000E+01 5.4190534578E-03
4.9000000000E+01 5.4189873369E-03
5.0000000000E+01 5.4189357976E-03
5.1000000000E+01 5.4188956124E-03
5.2000000000E+01 5.4188642706E-03
5.3000000000E+01 5.4188398184E-03
5.4000000000E+01 5.4188207348E-03
5.5000000000E+01 5.4188058355E-03
5.6000000000E+01 5.4187941982E-03
5.7000000000E+01 5.4187851042E-03
5.8000000000E+01 5.4187779936E-03
5.9000000000E+01 5.4187724299E-03
6.0000000000E+01 5.4187680729E-03
6.1000000000E+01 5.4187646573E-03
6.2000000000E+01 5.4187619764E-03
6.3000000000E+01 5.4187598688E-03
6.4000000000E+01 5.4187582086E-03
6.5000000000E+01 5.4187568978E-03
6.6000000000E+01 5.4187558597E-03
6.7000000000E+01 5.4187550346E-03
6.8000000000E+01 5.4187543759E-03
6.9000000000E+01 5.4187538470E-03
7.0000000000E+01 5.4187534198E-03
7.1000000000E+01 5.4187530718E-03
7.2000000000E+01 5.4187527860E-03
7.3000000000E+01 5.4187525486E-03
7.4000000000E+01 5.4187523491E-03
7.5000000000E+01 5.4187521794E-03
7.6000000000E+01 5.4187520329E-03
7.7000000000E+01 5.4187519046E-03
7.8000000000E+01 5.4187517905E-03
7.9000000000E+01 5.4187516876E-03
8.0000000000E+01 5.4187515935E-03
8.1000000000E+01 5.4187515063E-03
8.2000000000E+01 5.4187514244E-03
8.3000000000E+01 5.4187513468E-03
8.4000000000E+01 5.4187512724E-03
8.5000000000E+01 5.4187512006E-03
8.6000000000E+01 5.4187511309E-03
8.7000000000E+01 5.4187510627E-03
8.8000000000E+01 5.4187509958E-03
8.9000000000E+01 5.4187509297E-03
9.0000000000E+01 5.4187508644E-03
9.1000000000E+01 5.4187507996E-03
9.2000000000E+01 5.4187507352E-03
9.3000000000E+01 5.4187506710E-03
9.4000000000E+01 5.4187506070E-03
9.5000000000E+01 5.4187505430E-03
9.6000000000E+01 5.4187504790E-03
9.7000000000E+01 5.4187504150E-03
9.8000000000E+01 5.4187503509E-03
9.9000000000E+01 5.4187502866E-03
1.0000000000E+02 5.4187502221E-03
