x y
1.0000000000E+00 3.2603380641E-02
2.0000000000E+00 3.2559913359E-02
3.0000000000E+00 3.2560028936E-02
4.0000000000E+00 3.2560325406E-02
5.0000000000E+00 3.2560618203E-02
6.0000000000E+00 3.2557992413E-02
7.0000000000E+00 3.2554704024E-02
8.0000000000E+00 3.2551336875E-02
9.0000000000E+00 3.2547470062E-02
1.0000000000E+01 3.2542648516E-02
1.1000000000E+01 3.2537901861E-02
1.2000000000E+01 3.2533083666E-02
1.3000000000E+01 3.2528924296E-02
1.4000000000E+01 3.2517592257E-02
1.5000000000E+01 3.2472526057E-02
1.6000000000E+01 3.2407436109E-02
1.7000000000E+01 3.2260189617E-02
1.8000000000E+01 3.1968798330E-02
1.9000000000E+01 3.1384695488E-02
2.0000000000E+01 3.0241242254E-02
2.1000000000E+01 2.8039193202E-02
2.2000000000E+01 2.4024810393E-02
2.3000000000E+01 1.7673572322E-02
2.4000000000E+01 1.1142818884E-02
2.5000000000E+01 1.1180868525E-02
2.6000000000E+01 1.6464120141E-02
2.7000000000E+01 1.9034197102E-02
2.8000000000E+01 1.9583323937E-02
2.9000000000E+01 1.9678285236E-02
3.0000000000E+01 1.9688877131E-02
3.1000000000E+01 1.9693121681E-02
3.2000000000E+01 1.9694189692E-02
3.3000000000E+01 1.9693997467E-02
3.4000000000E+01 1.9693411192E-02
3.5000000000E+01 1.9692766208E-02
3.6000000000E+01 1.9692176261E-02
3.7000000000E+01 1.9691672569E-02
3.8000000000E+01 1.9691257813E-02
3.9000000000E+01 1.9690925688E-02
4.0000000000E+01 1.9690667680E-02
4.1000000000E+01 1.9690475305E-02
4.2000000000E+01 1.9690340776E-02
4.3000000000E+01 1.9690257142E-02
4.4000000000E+01 1.9690218265E-02
4.5000000000E+01 1.9690218760E-02
4.6000000000E+01 1.9690253931E-02
4.7000000000E+01 1.9690319701E-02
4.8000000000E+01 1.9690412558E-02
4.9000000000E+01 1.9690529485E-02
5.0000000000E+01 1.9690667881E-02
5.1000000000E+01 1.9690825485E-02
5.2000000000E+01 1.9691000293E-02
5.3000000000E+01 1.9691190491E-02
5.4000000000E+01 1.9691394400E-02
5.5000000000E+01 1.9691610426E-02
5.6000000000E+01 1.9691837005E-02
5.7000000000E+01 1.9692072527E-02
5.8000000000E+01 1.9692315209E-02
5.9000000000E+01 1.9692562879E-02
6.0000000000E+01 1.9692812622E-02
6.1000000000E+01 1.9693060308E-02
6.2000000000E+01 1.9693300446E-02
6.3000000000E+01 1.9693528300E-02
6.4000000000E+01 1.9693747302E-02
6.5000000000E+01 1.9693974819E-02
6.6000000000E+01 1.9694226618E-02
6.7000000000E+01 1.9694498735E-02
6.8000000000E+01 1.9694775884E-02
6.9000000000E+01 1.9695043184E-02
7.0000000000E+01 1.9695287332E-02
7.1000000000E+01 1.9695494387E-02
7.2000000000E+01 1.9695650790E-02
7.3000000000E+01 1.9695761680E-02
7.4000000000E+01 1.9695920901E-02
7.5000000000E+01 1.9695482137E-02
7.6000000000E+01 1.9696126315E-02
7.7000000000E+01 1.9695681870E-02
7.8000000000E+01 1.9695080159E-02
7.9000000000E+01 1.9694248096E-02
8.0000000000E+01 1.9693381273E-02
8.1000000000E+01 1.9692585415E-02
8.2000000000E+01 1.9691896499E-02
8.3000000000E+01 1.9691320495E-02
8.4000000000E+01 1.9690851981E-02
8.5000000000E+01 1.9690481609E-02
8.6000000000E+01 1.9690199061E-02
8.7000000000E+01 1.9689994231E-02
8.8000000000E+01 1.9689857703E-02
8.9000000000E+01 1.9689780924E-02
9.0000000000E+01 1.9689756244E-02
9.1000000000E+01 1.9689776886E-02
9.2000000000E+01 1.9689836887E-02
9.3000000000E+01 1.9689931031E-02
9.4000000000E+01 1.9690054774E-02
9.5000000000E+01 1.9690204174E-02
9.6000000000E+01 1.9690375822E-02
9.7000000000E+01 1.9690566786E-02
9.8000000000E+01 1.9690774552E-02
9.9000000000E+01 1.9690996977E-02
1.0000000000E+02 1.9691232243E-02
