x y
1.0000000000E+00 3.5187579727E-02
2.0000000000E+00 3.0507373698E-02
3.0000000000E+00 3.0511531293E-02
4.0000000000E+00 3.0517281423E-02
5.0000000000E+00 3.0528187953E-02
6.0000000000E+00 3.0543575227E-02
7.0000000000E+00 3.0336749326E-02
8.0000000000E+00 2.4276221540E-02
9.0000000000E+00 1.5473808310E-02
1.0000000000E+01 1.3400470514E-02
1.1000000000E+01 1.1572524906E-02
1.2000000000E+01 1.0204567118E-02
1.3000000000E+01 9.2290934853E-03
1.4000000000E+01 8.4506513381E-03
1.5000000000E+01 7.7506509058E-03
1.6000000000E+01 7.0865721427E-03
1.7000000000E+01 6.4637516736E-03
1.8000000000E+01 5.9069148518E-03
1.9000000000E+01 5.4350922273E-03
2.0000000000E+01 5.0509217476E-03
2.1000000000E+01 4.7442427131E-03
2.2000000000E+01 4.5001169851E-03
2.3000000000E+01 4.3043255217E-03
2.4000000000E+01 4.1454271961E-03
2.5000000000E+01 4.0148576382E-03
2.6000000000E+01 3.9063533566E-03
2.7000000000E+01 3.8153175579E-03
2.8000000000E+01 3.7383206989E-03
2.9000000000E+01 3.6727513244E-03
3.0000000000E+01 3.6165820599E-03
3.1000000000E+01 3.5682130795E-03
3.2000000000E+01 3.5263652466E-03
3.3000000000E+01 3.4900049575E-03
3.4000000000E+01 3.4582896711E-03
3.5000000000E+01 3.4305274337E-03
3.6000000000E+01 3.4061462535E-03
3.7000000000E+01 3.3846706583E-03
3.8000000000E+01 3.3657036466E-03
3.9000000000E+01 3.3489127888E-03
4.0000000000E+01 3.3340195963E-03
4.1000000000E+01 3.3207915275E-03
4.2000000000E+01 3.3090361636E-03
4.3000000000E+01 3.2985971650E-03
4.4000000000E+01 3.2893515602E-03
4.5000000000E+01 3.2812076429E-03
4.6000000000E+01 3.2741021790E-03
4.7000000000E+01 3.2679947934E-03
4.8000000000E+01 3.2628568917E-03
4.9000000000E+01 3.2586536099E-03
5.0000000000E+01 3.2553215567E-03
5.1000000000E+01 3.2527513850E-03
5.2000000000E+01 3.2507866920E-03
5.3000000000E+01 3.2492436661E-03
5.4000000000E+01 3.2479428807E-03
5.5000000000E+01 3.2467373845E-03
5.6000000000E+01 3.2455256923E-03
5.7000000000E+01 3.2442486144E-03
5.8000000000E+01 3.2428764694E-03
5.9000000000E+01 3.2413950539E-03
6.0000000000E+01 3.2397962957E-03
6.1000000000E+01 3.2380753958E-03
6.2000000000E+01 3.2362327010E-03
6.3000000000E+01 3.2342769602E-03
6.4000000000E+01 3.2322271545E-03
6.5000000000E+01 3.2301117222E-03
6.6000000000E+01 3.2279654347E-03
6.7000000000E+01 3.2258248701E-03
6.8000000000E+01 3.2237235341E-03
6.9000000000E+01 3.2216875886E-03
7.0000000000E+01 3.2197329719E-03
7.1000000000E+01 3.2178644046E-03
7.2000000000E+01 3.2160763488E-03
7.3000000000E+01 3.2143555288E-03
7.4000000000E+01 3.2126842782E-03
7.5000000000E+01 3.2110438930E-03
7.6000000000E+01 3.2094173541E-03
7.7000000000E+01 3.2077911182E-03
7.8000000000E+01 3.2061559912E-03
7.9000000000E+01 3.2045072794E-03
8.0000000000E+01 3.2028444569E-03
8.1000000000E+01 3.2011705591E-03
8.2000000000E+01 3.1994914499E-03
8.3000000000E+01 3.1978150595E-03
8.4000000000E+01 3.1961506412E-03
8.5000000000E+01 3.1945080613E-03
8.6000000000E+01 3.1928971317E-03
8.7000000000E+01 3.1913269938E-03
8.8000000000E+01 3.1898055787E-03
8.9000000000E+01 3.1883391776E-03
9.0000000000E+01 3.1869321552E-03
9.1000000000E+01 3.1855868326E-03
9.2000000000E+01 3.1843035495E-03
9.3000000000E+01 3.1830808904E-03
9.4000000000E+01 3.1819160401E-03
9.5000000000E+01 3.1808052108E-03
9.6000000000E+01 3.1797440754E-03
9.7000000000E+01 3.1787281457E-03
9.8000000000E+01 3.1777530508E-03
9.9000000000E+01 3.1768147018E-03
1.0000000000E+02 3.1759093497E-03
