x y
1.0000000000E+00 3.6416819874E-09
2.0000000000E+00 1.5598440942E-08
3.0000000000E+00 5.7345590764E-07
4.0000000000E+00 2.7619645708E-06
5.0000000000E+00 1.1620717529E-03
6.0000000000E+00 2.8093957114E-06
7.0000000000E+00 1.9833375729E-07
8.0000000000E+00 2.0822416731E-08
9.0000000000E+00 1.5459104948E-08
1.0000000000E+01 7.9510615155E-09
1.1000000000E+01 1.0468369248E-08
1.2000000000E+01 2.1369909302E-08
1.3000000000E+01 3.4920271277E-08
1.4000000000E+01 6.9209385197E-08
1.5000000000E+01 1.5726166296E-07
1.6000000000E+01 3.5965213136E-07
1.7000000000E+01 1.2616620191E-06
1.8000000000E+01 7.3257043225E-06
1.9000000000E+01 1.4089756692E-04
2.0000000000E+01 5.6473439929E-02
2.1000000000E+01 1.4049297324E-04
2.2000000000E+01 8.0002283069E-06
2.3000000000E+01 1.2022273455E-06
2.4000000000E+01 3.9241109834E-07
2.5000000000E+01 1.2238935835E-07
2.6000000000E+01 4.7306893399E-08
2.7000000000E+01 2.5336079540E-08
2.8000000000E+01 1.7432365169E-08
2.9000000000E+01 4.3131325571E-08
3.0000000000E+01 1.1769445259E-07
3.1000000000E+01 2.5308274336E-07
3.2000000000E+01 1.2255132298E-06
3.3000000000E+01 4.6339366777E-06
3.4000000000E+01 1.4061301539E-04
3.5000000000E+01 5.6473443024E-02
3.6000000000E+01 1.4053318838E-04
3.7000000000E+01 5.4988207936E-06
3.8000000000E+01 1.2300974598E-06
3.9000000000E+01 4.0878294758E-07
4.0000000000E+01 1.4394335197E-07
4.1000000000E+01 6.0594666476E-08
4.2000000000E+01 4.5434537750E-08
4.3000000000E+01 4.7190774963E-08
4.4000000000E+01 8.0309883214E-08
4.5000000000E+01 1.7183848191E-07
4.6000000000E+01 5.9184373905E-07
4.7000000000E+01 1.3191071331E-06
4.8000000000E+01 7.9115859319E-06
4.9000000000E+01 1.4201808816E-04
5.0000000000E+01 5.6473390350E-02
5.1000000000E+01 1.4203779769E-04
5.2000000000E+01 9.3462825967E-06
5.3000000000E+01 1.4151513175E-06
5.4000000000E+01 4.5899769696E-07
5.5000000000E+01 2.4670735177E-07
5.6000000000E+01 1.4066141706E-07
5.7000000000E+01 1.2828185205E-07
5.8000000000E+01 1.3151927671E-07
5.9000000000E+01 1.8753196519E-07
6.0000000000E+01 2.4852914761E-07
6.1000000000E+01 5.9975059781E-07
6.2000000000E+01 1.4824611898E-06
6.3000000000E+01 7.1549387129E-06
6.4000000000E+01 1.4268053150E-04
6.5000000000E+01 5.6473447591E-02
6.6000000000E+01 1.4237583914E-04
6.7000000000E+01 7.2560412280E-06
6.8000000000E+01 1.3938914771E-06
6.9000000000E+01 3.8511434912E-07
7.0000000000E+01 1.9013730830E-07
7.1000000000E+01 9.6612450571E-08
7.2000000000E+01 5.0250536467E-08
7.3000000000E+01 2.9090161651E-08
7.4000000000E+01 1.7803863063E-08
7.5000000000E+01 1.2433087098E-08
7.6000000000E+01 1.4181150815E-08
7.7000000000E+01 5.6145201889E-09
7.8000000000E+01 4.6641143597E-08
7.9000000000E+01 1.5481650167E-07
8.0000000000E+01 6.9931919354E-05
8.1000000000E+01 1.7619487233E-07
8.2000000000E+01 7.3855815992E-08
8.3000000000E+01 2.6574545047E-09
8.4000000000E+01 1.3364743840E-08
8.5000000000E+01 9.3065514757E-11
