x y
1.0000000000E+00 2.2492365633E-08
2.0000000000E+00 1.3125202982E-08
3.0000000000E+00 7.1800331739E-08
4.0000000000E+00 1.0234769050E-06
5.0000000000E+00 4.6988923712E-04
6.0000000000E+00 1.0570695877E-06
7.0000000000E+00 3.0257262395E-07
8.0000000000E+00 3.7685356960E-08
9.0000000000E+00 8.9632212129E-08
1.0000000000E+01 1.6955720851E-08
1.1000000000E+01 1.3404193817E-08
1.2000000000E+01 4.1794233536E-08
1.3000000000E+01 5.5134826115E-08
1.4000000000E+01 1.0130104219E-07
1.5000000000E+01 1.8916833148E-07
1.6000000000E+01 3.4471362460E-07
1.7000000000E+01 1.3139314544E-06
1.8000000000E+01 7.3776490157E-06
1.9000000000E+01 1.3670017351E-04
2.0000000000E+01 5.5566808707E-02
2.1000000000E+01 1.3674411574E-04
2.2000000000E+01 8.5502506686E-06
2.3000000000E+01 1.4123914147E-06
2.4000000000E+01 3.5258979893E-07
2.5000000000E+01 2.3389599876E-07
2.6000000000E+01 1.9986052848E-07
2.7000000000E+01 1.3228559199E-07
2.8000000000E+01 1.2219567764E-07
2.9000000000E+01 1.3257352072E-07
3.0000000000E+01 2.5372214974E-07
3.1000000000E+01 5.3032581832E-07
3.2000000000E+01 1.3258224101E-06
3.3000000000E+01 6.1760660439E-06
3.4000000000E+01 1.2719340750E-04
3.5000000000E+01 5.5501956637E-02
3.6000000000E+01 1.2673080324E-04
3.7000000000E+01 8.6711346663E-06
3.8000000000E+01 1.3525399372E-06
3.9000000000E+01 4.2117512081E-07
4.0000000000E+01 1.7469559820E-07
4.1000000000E+01 8.0215914854E-08
4.2000000000E+01 6.3748561615E-08
4.3000000000E+01 7.1447099957E-08
4.4000000000E+01 7.4174622869E-08
4.5000000000E+01 1.6578086354E-07
4.6000000000E+01 4.4616705061E-07
4.7000000000E+01 1.2444873284E-06
4.8000000000E+01 7.1509996053E-06
4.9000000000E+01 1.3461526809E-04
5.0000000000E+01 5.4910827044E-02
5.1000000000E+01 1.3461970840E-04
5.2000000000E+01 5.1628118984E-06
5.3000000000E+01 1.1499049131E-06
5.4000000000E+01 5.1578430997E-07
5.5000000000E+01 1.0268168642E-07
5.6000000000E+01 1.2078148187E-08
5.7000000000E+01 3.2702628381E-09
5.8000000000E+01 8.3669086163E-09
5.9000000000E+01 1.7415726191E-08
6.0000000000E+01 1.0263555988E-07
6.1000000000E+01 3.7292632445E-07
6.2000000000E+01 1.1889903804E-06
6.3000000000E+01 6.6710084436E-06
6.4000000000E+01 1.4287970971E-04
6.5000000000E+01 5.5225248187E-02
6.6000000000E+01 1.4364781342E-04
6.7000000000E+01 6.1797390235E-06
6.8000000000E+01 1.3324225118E-06
6.9000000000E+01 5.7415401437E-07
7.0000000000E+01 1.3463161709E-07
7.1000000000E+01 4.0766631505E-08
7.2000000000E+01 2.9634935918E-08
7.3000000000E+01 2.2816555382E-08
7.4000000000E+01 1.5925616847E-08
7.5000000000E+01 4.0012528852E-09
7.6000000000E+01 3.2891204548E-09
7.7000000000E+01 1.1570487887E-09
7.8000000000E+01 3.7146246526E-08
7.9000000000E+01 1.0803407969E-07
8.0000000000E+01 1.8248938572E-04
8.1000000000E+01 1.0918840456E-07
8.2000000000E+01 6.9234223098E-07
8.3000000000E+01 7.2300046780E-10
8.4000000000E+01 3.0553919013E-08
8.5000000000E+01 1.9861491033E-09
