x y
1.0000000000E+00 2.0034221582E-07
2.0000000000E+00 1.7638156711E-07
3.0000000000E+00 4.1378099412E-07
4.0000000000E+00 5.1798101664E-06
5.0000000000E+00 2.8142754306E-03
6.0000000000E+00 7.7202178525E-06
7.0000000000E+00 7.0197990414E-07
8.0000000000E+00 2.8211260217E-07
9.0000000000E+00 3.1904333531E-07
1.0000000000E+01 7.5972516832E-08
1.1000000000E+01 1.7892991340E-07
1.2000000000E+01 1.4514935724E-07
1.3000000000E+01 1.1402606902E-07
1.4000000000E+01 1.3417809673E-08
1.5000000000E+01 2.8252856073E-07
1.6000000000E+01 9.5483593062E-07
1.7000000000E+01 1.9003402664E-06
1.8000000000E+01 5.8085115785E-06
1.9000000000E+01 1.1738307359E-04
2.0000000000E+01 4.9286076679E-02
2.1000000000E+01 1.2252956821E-04
2.2000000000E+01 1.0567226956E-05
2.3000000000E+01 1.5732334985E-06
2.4000000000E+01 4.1835819539E-07
2.5000000000E+01 2.4273039749E-07
2.6000000000E+01 2.7749174001E-07
2.7000000000E+01 4.5812434668E-08
2.8000000000E+01 1.3336666461E-07
2.9000000000E+01 7.2170930907E-08
3.0000000000E+01 2.7453117549E-07
3.1000000000E+01 7.8198853823E-07
3.2000000000E+01 1.8960093984E-06
3.3000000000E+01 6.3311542216E-06
3.4000000000E+01 1.3617753332E-04
3.5000000000E+01 5.4102493444E-02
3.6000000000E+01 1.3571012538E-04
3.7000000000E+01 9.3302990124E-06
3.8000000000E+01 1.6076759192E-06
3.9000000000E+01 6.8756967326E-07
4.0000000000E+01 1.9061554840E-07
4.1000000000E+01 5.6641195935E-07
4.2000000000E+01 9.6162021303E-08
4.3000000000E+01 2.1390234503E-07
4.4000000000E+01 2.2646439797E-07
4.5000000000E+01 4.4025727672E-07
4.6000000000E+01 9.8417108341E-07
4.7000000000E+01 2.0208835805E-06
4.8000000000E+01 8.1494580982E-06
4.9000000000E+01 1.4104634824E-04
5.0000000000E+01 5.7759199548E-02
5.1000000000E+01 1.4028761317E-04
5.2000000000E+01 9.1171383928E-06
5.3000000000E+01 1.0877184240E-06
5.4000000000E+01 2.5869164629E-07
5.5000000000E+01 3.7552438200E-07
5.6000000000E+01 2.4939941141E-07
5.7000000000E+01 1.4703327097E-08
5.8000000000E+01 1.4232572521E-07
5.9000000000E+01 1.5497511439E-07
6.0000000000E+01 3.6239373652E-08
6.1000000000E+01 1.4789073110E-07
6.2000000000E+01 7.9701936100E-07
6.3000000000E+01 4.8237046487E-06
6.4000000000E+01 1.0586133692E-04
6.5000000000E+01 4.5627019147E-02
6.6000000000E+01 1.0789117746E-04
6.7000000000E+01 3.1970284381E-06
6.8000000000E+01 1.1300311634E-06
6.9000000000E+01 4.0779168876E-07
7.0000000000E+01 3.6512109528E-08
7.1000000000E+01 6.0468816355E-08
7.2000000000E+01 2.0961556376E-08
7.3000000000E+01 4.3402993777E-07
7.4000000000E+01 2.1671574518E-07
7.5000000000E+01 1.9004413167E-07
7.6000000000E+01 1.9444110529E-07
7.7000000000E+01 3.0813275749E-07
7.8000000000E+01 1.7759685533E-06
7.9000000000E+01 2.9719652057E-05
8.0000000000E+01 1.1984031068E-02
8.1000000000E+01 2.8403604808E-05
8.2000000000E+01 9.7369469694E-07
8.3000000000E+01 3.2294895050E-07
8.4000000000E+01 1.6617324010E-07
8.5000000000E+01 4.7550160258E-09
