x y
1.0000000000E+00 2.2762399965E-08
2.0000000000E+00 3.8821120084E-08
3.0000000000E+00 1.1195417431E-06
4.0000000000E+00 2.5647943168E-06
5.0000000000E+00 9.7059165864E-04
6.0000000000E+00 2.3848425476E-06
7.0000000000E+00 2.0727695068E-07
8.0000000000E+00 1.2353460838E-08
9.0000000000E+00 5.8249012975E-08
1.0000000000E+01 6.8251298127E-09
1.1000000000E+01 3.6579990531E-09
1.2000000000E+01 2.1855725993E-08
1.3000000000E+01 8.4818225041E-08
1.4000000000E+01 9.1076341867E-08
1.5000000000E+01 2.0870773455E-07
1.6000000000E+01 3.6962494181E-07
1.7000000000E+01 1.3226293222E-06
1.8000000000E+01 6.1028140448E-06
1.9000000000E+01 1.3884100094E-04
2.0000000000E+01 5.4606103605E-02
2.1000000000E+01 1.3808392623E-04
2.2000000000E+01 7.6331756342E-06
2.3000000000E+01 1.4273106766E-06
2.4000000000E+01 3.7001903278E-07
2.5000000000E+01 1.9708421401E-07
2.6000000000E+01 1.0319818782E-07
2.7000000000E+01 1.4060396923E-08
2.8000000000E+01 7.8308390327E-08
2.9000000000E+01 1.1044503988E-07
3.0000000000E+01 1.8360118492E-07
3.1000000000E+01 4.9251945609E-07
3.2000000000E+01 1.2126517853E-06
3.3000000000E+01 8.2780920556E-06
3.4000000000E+01 1.3950537318E-04
3.5000000000E+01 5.6310661404E-02
3.6000000000E+01 1.4101172663E-04
3.7000000000E+01 4.0187859341E-06
3.8000000000E+01 1.3215467329E-06
3.9000000000E+01 7.2844116950E-07
4.0000000000E+01 1.2136364927E-07
4.1000000000E+01 5.0004070383E-08
4.2000000000E+01 2.9281339206E-08
4.3000000000E+01 1.3970801002E-08
4.4000000000E+01 3.7695104701E-08
4.5000000000E+01 1.2641321419E-07
4.6000000000E+01 3.5850761009E-07
4.7000000000E+01 1.3158885865E-06
4.8000000000E+01 8.6462264210E-06
4.9000000000E+01 1.4003728623E-04
5.0000000000E+01 5.6535188566E-02
5.1000000000E+01 1.3976441683E-04
5.2000000000E+01 8.8056909847E-06
5.3000000000E+01 1.1459957307E-06
5.4000000000E+01 6.0058907340E-07
5.5000000000E+01 1.3942217367E-07
5.6000000000E+01 1.0356633224E-07
5.7000000000E+01 1.5611574174E-07
5.8000000000E+01 3.5620419419E-08
5.9000000000E+01 7.8278622849E-08
6.0000000000E+01 1.6964374336E-07
6.1000000000E+01 2.9404981324E-07
6.2000000000E+01 1.4633645389E-06
6.3000000000E+01 9.5010458913E-06
6.4000000000E+01 1.4232604003E-04
6.5000000000E+01 5.6239222910E-02
6.6000000000E+01 1.4193187023E-04
6.7000000000E+01 6.3319457262E-06
6.8000000000E+01 1.2355189290E-06
6.9000000000E+01 2.7868419120E-07
7.0000000000E+01 1.7043610566E-07
7.1000000000E+01 1.4494661610E-07
7.2000000000E+01 6.2071648990E-08
7.3000000000E+01 4.7486912526E-08
7.4000000000E+01 1.9684433296E-08
7.5000000000E+01 8.4553958166E-09
7.6000000000E+01 1.2067731954E-08
7.7000000000E+01 8.4624023860E-09
7.8000000000E+01 1.8591288495E-07
7.9000000000E+01 2.0667534678E-07
8.0000000000E+01 9.0221132544E-05
8.1000000000E+01 2.3549716964E-07
8.2000000000E+01 8.9468436357E-07
8.3000000000E+01 1.0140005704E-08
8.4000000000E+01 2.8515128001E-09
8.5000000000E+01 1.6198335387E-09
