x y
1.0000000000E+00 2.2012241055E-08
2.0000000000E+00 4.8752130867E-09
3.0000000000E+00 6.8860123434E-08
4.0000000000E+00 9.3352376844E-07
5.0000000000E+00 3.9649155063E-04
6.0000000000E+00 9.4108611087E-07
7.0000000000E+00 4.4425302018E-08
8.0000000000E+00 3.2551501620E-09
9.0000000000E+00 1.1146227260E-09
1.0000000000E+01 4.7428648062E-09
1.1000000000E+01 1.2344824404E-08
1.2000000000E+01 1.5666273978E-08
1.3000000000E+01 3.0472547907E-08
1.4000000000E+01 8.1282531731E-08
1.5000000000E+01 1.4154306225E-07
1.6000000000E+01 4.6634633791E-07
1.7000000000E+01 1.2609950058E-06
1.8000000000E+01 6.7755996616E-06
1.9000000000E+01 1.4418097212E-04
2.0000000000E+01 5.7955889247E-02
2.1000000000E+01 1.4375550404E-04
2.2000000000E+01 7.1348438887E-06
2.3000000000E+01 1.1943489170E-06
2.4000000000E+01 2.6240827531E-07
2.5000000000E+01 1.0389942827E-07
2.6000000000E+01 2.8746174775E-08
2.7000000000E+01 9.9297415651E-09
2.8000000000E+01 1.1340063398E-08
2.9000000000E+01 5.3337920170E-08
3.0000000000E+01 1.1052260391E-07
3.1000000000E+01 3.2392599286E-07
3.2000000000E+01 1.2992832426E-06
3.3000000000E+01 9.4796121951E-06
3.4000000000E+01 1.5767022747E-04
3.5000000000E+01 6.3741912513E-02
3.6000000000E+01 1.5834642853E-04
3.7000000000E+01 7.3627614804E-06
3.8000000000E+01 1.3655659796E-06
3.9000000000E+01 3.9393510168E-07
4.0000000000E+01 1.5299666617E-07
4.1000000000E+01 7.4918544175E-08
4.2000000000E+01 3.6628256739E-08
4.3000000000E+01 3.5686136441E-08
4.4000000000E+01 7.4111096802E-08
4.5000000000E+01 1.5484002861E-07
4.6000000000E+01 3.9421378322E-07
4.7000000000E+01 1.3639562544E-06
4.8000000000E+01 7.3603742164E-06
4.9000000000E+01 1.5832684075E-04
5.0000000000E+01 6.3740083070E-02
5.1000000000E+01 1.5771718178E-04
5.2000000000E+01 9.5105467525E-06
5.3000000000E+01 1.2950520401E-06
5.4000000000E+01 3.2098792508E-07
5.5000000000E+01 1.1171129916E-07
5.6000000000E+01 5.4879168618E-08
5.7000000000E+01 1.1154399310E-08
5.8000000000E+01 9.8837419791E-09
5.9000000000E+01 2.8969901357E-08
6.0000000000E+01 1.0396682166E-07
6.1000000000E+01 2.6482395117E-07
6.2000000000E+01 1.1894965879E-06
6.3000000000E+01 7.1228750386E-06
6.4000000000E+01 1.4376263147E-04
6.5000000000E+01 5.7942449906E-02
6.6000000000E+01 1.4413067665E-04
6.7000000000E+01 6.7612906184E-06
6.8000000000E+01 1.2618025738E-06
6.9000000000E+01 4.6862683322E-07
7.0000000000E+01 1.4174686155E-07
7.1000000000E+01 8.2293585381E-08
7.2000000000E+01 3.0703467236E-08
7.3000000000E+01 1.5041882173E-08
7.4000000000E+01 1.1721556150E-08
7.5000000000E+01 5.2094655137E-09
7.6000000000E+01 9.2594051002E-10
7.7000000000E+01 3.3245983571E-09
7.8000000000E+01 4.2624449564E-08
7.9000000000E+01 9.4043871116E-07
8.0000000000E+01 3.9644882896E-04
8.1000000000E+01 9.3337484730E-07
8.2000000000E+01 6.8891773457E-08
8.3000000000E+01 4.7936596537E-09
8.4000000000E+01 2.3485919402E-08
8.5000000000E+01 3.5319258651E-10
