x y
1.0000000000E+00 3.7595481981E-09
2.0000000000E+00 3.9240724094E-08
3.0000000000E+00 1.8977621580E-07
4.0000000000E+00 5.6237867459E-07
5.0000000000E+00 1.2230132610E-07
6.0000000000E+00 6.0472026246E-07
7.0000000000E+00 2.2900457237E-07
8.0000000000E+00 7.7357142265E-08
9.0000000000E+00 1.9658368606E-08
1.0000000000E+01 1.1887994527E-08
1.1000000000E+01 6.9088062566E-09
1.2000000000E+01 2.3213890288E-08
1.3000000000E+01 3.1483096920E-08
1.4000000000E+01 4.0112458465E-08
1.5000000000E+01 6.2396237904E-08
1.6000000000E+01 3.1372887624E-07
1.7000000000E+01 1.7874102909E-06
1.8000000000E+01 8.4082729313E-06
1.9000000000E+01 4.0651671265E-05
2.0000000000E+01 4.8944577856E-02
2.1000000000E+01 4.0322300944E-05
2.2000000000E+01 8.2556991900E-06
2.3000000000E+01 1.8159169176E-06
2.4000000000E+01 3.6287791670E-07
2.5000000000E+01 1.0023797598E-07
2.6000000000E+01 8.9511987634E-08
2.7000000000E+01 1.1833217488E-07
2.8000000000E+01 1.1997698495E-07
2.9000000000E+01 1.0931734621E-07
3.0000000000E+01 1.8866215795E-07
3.1000000000E+01 5.3749930397E-07
3.2000000000E+01 2.1923331350E-06
3.3000000000E+01 9.8344750833E-06
3.4000000000E+01 5.4125435597E-05
3.5000000000E+01 4.7690411863E-02
3.6000000000E+01 5.2907792032E-05
3.7000000000E+01 9.7132358314E-06
3.8000000000E+01 1.8046927382E-06
3.9000000000E+01 3.1727042313E-07
4.0000000000E+01 6.2268381002E-08
4.1000000000E+01 2.4850337289E-08
4.2000000000E+01 1.0828640617E-08
4.3000000000E+01 1.0524089078E-08
4.4000000000E+01 2.5292899146E-08
4.5000000000E+01 6.2472945850E-08
4.6000000000E+01 3.1496678245E-07
4.7000000000E+01 1.7936517888E-06
4.8000000000E+01 9.7291323184E-06
4.9000000000E+01 5.2618918574E-05
5.0000000000E+01 4.7753724867E-02
5.1000000000E+01 5.3824944345E-05
5.2000000000E+01 9.8761898538E-06
5.3000000000E+01 2.2089040504E-06
5.4000000000E+01 5.4293930605E-07
5.5000000000E+01 1.8427727206E-07
5.6000000000E+01 1.1086747034E-07
5.7000000000E+01 1.3367018724E-07
5.8000000000E+01 1.1740873639E-07
5.9000000000E+01 9.2959909777E-08
6.0000000000E+01 1.1623609640E-07
6.1000000000E+01 3.8114810439E-07
6.2000000000E+01 1.8549618018E-06
6.3000000000E+01 8.3419043182E-06
6.4000000000E+01 4.0908567563E-05
6.5000000000E+01 4.8891255548E-02
6.6000000000E+01 4.1251643752E-05
6.7000000000E+01 8.4798928479E-06
6.8000000000E+01 1.8316651847E-06
6.9000000000E+01 3.3626402708E-07
7.0000000000E+01 7.1392078434E-08
7.1000000000E+01 4.7419347935E-08
7.2000000000E+01 3.4847173116E-08
7.3000000000E+01 2.3723093509E-08
7.4000000000E+01 8.3851741510E-09
7.5000000000E+01 8.7382544790E-09
7.6000000000E+01 1.6583374539E-08
7.7000000000E+01 6.9632378042E-08
7.8000000000E+01 2.2878186067E-07
7.9000000000E+01 6.1133792734E-07
8.0000000000E+01 1.4885525294E-07
8.1000000000E+01 5.7158724520E-07
8.2000000000E+01 1.9646676345E-07
8.3000000000E+01 4.0061343932E-08
8.4000000000E+01 3.4735831758E-09
8.5000000000E+01 6.2785801854E-10
