x y z
1.0000000000E+00 1.0000000000E+00 5.6473457273E-02
2.0000000000E+00 1.0000000000E+00 5.6473464763E-02
3.0000000000E+00 1.0000000000E+00 5.6473447591E-02
4.0000000000E+00 1.0000000000E+00 5.6473420525E-02

1.0000000000E+00 2.0000000000E+00 5.6473439929E-02
2.0000000000E+00 2.0000000000E+00 5.6473443024E-02
3.0000000000E+00 2.0000000000E+00 5.6473390350E-02
4.0000000000E+00 2.0000000000E+00 5.6473447591E-02

1.0000000000E+00 3.0000000000E+00 5.6473489947E-02
2.0000000000E+00 3.0000000000E+00 5.6473471879E-02
3.0000000000E+00 3.0000000000E+00 5.6473443024E-02
4.0000000000E+00 3.0000000000E+00 5.6473464763E-02

1.0000000000E+00 4.0000000000E+00 5.6473465062E-02
2.0000000000E+00 4.0000000000E+00 5.6473489947E-02
3.0000000000E+00 4.0000000000E+00 5.6473439929E-02
4.0000000000E+00 4.0000000000E+00 5.6473457273E-02

