x y z
1.0000000000E+00 1.0000000000E+00 5.5220956686E-02
2.0000000000E+00 1.0000000000E+00 5.6040571229E-02
3.0000000000E+00 1.0000000000E+00 5.5225248187E-02
4.0000000000E+00 1.0000000000E+00 5.5125939174E-02

1.0000000000E+00 2.0000000000E+00 5.5566808707E-02
2.0000000000E+00 2.0000000000E+00 5.5501956637E-02
3.0000000000E+00 2.0000000000E+00 5.4910827044E-02
4.0000000000E+00 2.0000000000E+00 5.5225248187E-02

1.0000000000E+00 3.0000000000E+00 5.4763586033E-02
2.0000000000E+00 3.0000000000E+00 5.4257405026E-02
3.0000000000E+00 3.0000000000E+00 5.5501956637E-02
4.0000000000E+00 3.0000000000E+00 5.6040571229E-02

1.0000000000E+00 4.0000000000E+00 5.4750019039E-02
2.0000000000E+00 4.0000000000E+00 5.4763586033E-02
3.0000000000E+00 4.0000000000E+00 5.5566808707E-02
4.0000000000E+00 4.0000000000E+00 5.5220956686E-02

