x y z
1.0000000000E+00 1.0000000000E+00 1.0354913695E-02
2.0000000000E+00 1.0000000000E+00 1.0353529759E-02
3.0000000000E+00 1.0000000000E+00 1.0361265279E-02
4.0000000000E+00 1.0000000000E+00 1.0359161530E-02

1.0000000000E+00 2.0000000000E+00 1.0360520219E-02
2.0000000000E+00 2.0000000000E+00 1.0358347874E-02
3.0000000000E+00 2.0000000000E+00 1.0363517138E-02
4.0000000000E+00 2.0000000000E+00 1.0363716875E-02

1.0000000000E+00 3.0000000000E+00 1.0357877302E-02
2.0000000000E+00 3.0000000000E+00 1.0356389145E-02
3.0000000000E+00 3.0000000000E+00 1.0354687164E-02
4.0000000000E+00 3.0000000000E+00 1.0363064639E-02

1.0000000000E+00 4.0000000000E+00 1.0358377111E-02
2.0000000000E+00 4.0000000000E+00 1.0358222803E-02
3.0000000000E+00 4.0000000000E+00 1.0363552736E-02
4.0000000000E+00 4.0000000000E+00 1.0356941751E-02

