x y z
1.0000000000E+00 1.0000000000E+00 5.3134594976E-02
2.0000000000E+00 1.0000000000E+00 5.8228596654E-02
3.0000000000E+00 1.0000000000E+00 4.5627019148E-02
4.0000000000E+00 1.0000000000E+00 4.7624968755E-02

1.0000000000E+00 2.0000000000E+00 4.9286076679E-02
2.0000000000E+00 2.0000000000E+00 5.4102493444E-02
3.0000000000E+00 2.0000000000E+00 5.7759199548E-02
4.0000000000E+00 2.0000000000E+00 4.5627019147E-02

1.0000000000E+00 3.0000000000E+00 4.1833395165E-02
2.0000000000E+00 3.0000000000E+00 5.4084569572E-02
3.0000000000E+00 3.0000000000E+00 5.4102493444E-02
4.0000000000E+00 3.0000000000E+00 5.8228596652E-02

1.0000000000E+00 4.0000000000E+00 4.9548826692E-02
2.0000000000E+00 4.0000000000E+00 4.1833395165E-02
3.0000000000E+00 4.0000000000E+00 4.9286076677E-02
4.0000000000E+00 4.0000000000E+00 5.3134594975E-02

