x y z
1.0000000000E+00 1.0000000000E+00 5.6253411225E-02
2.0000000000E+00 1.0000000000E+00 5.7447407611E-02
3.0000000000E+00 1.0000000000E+00 5.6245962477E-02
4.0000000000E+00 1.0000000000E+00 5.7408152765E-02

1.0000000000E+00 2.0000000000E+00 5.4606103605E-02
2.0000000000E+00 2.0000000000E+00 5.6310661404E-02
3.0000000000E+00 2.0000000000E+00 5.6535188566E-02
4.0000000000E+00 2.0000000000E+00 5.6239222910E-02

1.0000000000E+00 3.0000000000E+00 5.5325842451E-02
2.0000000000E+00 3.0000000000E+00 5.7138248885E-02
3.0000000000E+00 3.0000000000E+00 5.6303395201E-02
4.0000000000E+00 3.0000000000E+00 5.7467773702E-02

1.0000000000E+00 4.0000000000E+00 5.6092193185E-02
2.0000000000E+00 4.0000000000E+00 5.5324733997E-02
3.0000000000E+00 4.0000000000E+00 5.4581886962E-02
4.0000000000E+00 4.0000000000E+00 5.6205971126E-02

