x y z
1.0000000000E+00 1.0000000000E+00 5.6845443401E-02
2.0000000000E+00 1.0000000000E+00 5.7945775386E-02
3.0000000000E+00 1.0000000000E+00 5.7942449906E-02
4.0000000000E+00 1.0000000000E+00 5.6836997227E-02

1.0000000000E+00 2.0000000000E+00 5.7955889247E-02
2.0000000000E+00 2.0000000000E+00 6.3741912513E-02
3.0000000000E+00 2.0000000000E+00 6.3740083070E-02
4.0000000000E+00 2.0000000000E+00 5.7942449906E-02

1.0000000000E+00 3.0000000000E+00 5.7959233391E-02
2.0000000000E+00 3.0000000000E+00 6.3743696013E-02
3.0000000000E+00 3.0000000000E+00 6.3741912513E-02
4.0000000000E+00 3.0000000000E+00 5.7945775386E-02

1.0000000000E+00 4.0000000000E+00 5.6853881212E-02
2.0000000000E+00 4.0000000000E+00 5.7959233391E-02
3.0000000000E+00 4.0000000000E+00 5.7955889247E-02
4.0000000000E+00 4.0000000000E+00 5.6845443401E-02

