x y z
1.0000000000E+00 1.0000000000E+00 1.5317335170E-08
2.0000000000E+00 1.0000000000E+00 1.8502430454E-03
3.0000000000E+00 1.0000000000E+00 1.3368928938E-07
4.0000000000E+00 1.0000000000E+00 1.3407764943E-01

1.0000000000E+00 2.0000000000E+00 1.6093150926E-13
2.0000000000E+00 2.0000000000E+00 1.7929249335E-09
3.0000000000E+00 2.0000000000E+00 2.0735881745E-12
4.0000000000E+00 2.0000000000E+00 6.6373267933E-08

1.0000000000E+00 3.0000000000E+00 1.0562981317E-08
2.0000000000E+00 3.0000000000E+00 4.9361609812E-04
3.0000000000E+00 3.0000000000E+00 2.2719705432E-07
4.0000000000E+00 3.0000000000E+00 1.2197234221E-03

1.0000000000E+00 4.0000000000E+00 3.5745167081E-14
2.0000000000E+00 4.0000000000E+00 7.3145693766E-09
3.0000000000E+00 4.0000000000E+00 3.5897570217E-13
4.0000000000E+00 4.0000000000E+00 1.7288362180E-09

