x y z
1.0000000000E+00 1.0000000000E+00 2.2401416178E-01
2.0000000000E+00 1.0000000000E+00 3.7087859629E-08
3.0000000000E+00 1.0000000000E+00 1.8521307682E-04
4.0000000000E+00 1.0000000000E+00 2.2409761357E-08

1.0000000000E+00 2.0000000000E+00 2.0350407345E-06
2.0000000000E+00 2.0000000000E+00 2.7539469764E-08
3.0000000000E+00 2.0000000000E+00 1.9107069989E-08
4.0000000000E+00 2.0000000000E+00 2.5497753640E-08

1.0000000000E+00 3.0000000000E+00 4.0801888989E-03
2.0000000000E+00 3.0000000000E+00 5.9019746597E-08
3.0000000000E+00 3.0000000000E+00 7.1803553359E-05
4.0000000000E+00 3.0000000000E+00 2.1699002374E-08

1.0000000000E+00 4.0000000000E+00 4.7293212529E-08
2.0000000000E+00 4.0000000000E+00 2.6222409673E-08
3.0000000000E+00 4.0000000000E+00 2.7134047480E-08
4.0000000000E+00 4.0000000000E+00 2.4006742683E-08

