x y z
1.0000000000E+00 1.0000000000E+00 4.9387045719E-02
2.0000000000E+00 1.0000000000E+00 4.8940860331E-02
3.0000000000E+00 1.0000000000E+00 4.8891255548E-02
4.0000000000E+00 1.0000000000E+00 4.9396095904E-02

1.0000000000E+00 2.0000000000E+00 4.8944577856E-02
2.0000000000E+00 2.0000000000E+00 4.7690411863E-02
3.0000000000E+00 2.0000000000E+00 4.7753724867E-02
4.0000000000E+00 2.0000000000E+00 4.8891255548E-02

1.0000000000E+00 3.0000000000E+00 4.8893603205E-02
2.0000000000E+00 3.0000000000E+00 4.7751577724E-02
3.0000000000E+00 3.0000000000E+00 4.7690411863E-02
4.0000000000E+00 3.0000000000E+00 4.8940860331E-02

1.0000000000E+00 4.0000000000E+00 4.9402335511E-02
2.0000000000E+00 4.0000000000E+00 4.8893603205E-02
3.0000000000E+00 4.0000000000E+00 4.8944577856E-02
4.0000000000E+00 4.0000000000E+00 4.9387045719E-02

