x y z
1.0000000000E+00 1.0000000000E+00 2.2472785548E-02
2.0000000000E+00 1.0000000000E+00 2.0293414918E-02
3.0000000000E+00 1.0000000000E+00 2.7131585082E-02
4.0000000000E+00 1.0000000000E+00 2.0514510490E-02

1.0000000000E+00 2.0000000000E+00 2.4352097902E-02
2.0000000000E+00 2.0000000000E+00 2.3388752914E-02
3.0000000000E+00 2.0000000000E+00 2.8805594406E-02
4.0000000000E+00 2.0000000000E+00 2.5536538462E-02

1.0000000000E+00 3.0000000000E+00 2.7905419580E-02
2.0000000000E+00 3.0000000000E+00 2.5046969697E-02
3.0000000000E+00 3.0000000000E+00 2.8126515152E-02
4.0000000000E+00 3.0000000000E+00 2.6720979021E-02

1.0000000000E+00 4.0000000000E+00 2.9374125874E-02
2.0000000000E+00 4.0000000000E+00 2.9279370629E-02
3.0000000000E+00 4.0000000000E+00 2.8931934732E-02
4.0000000000E+00 4.0000000000E+00 3.0605944056E-02

