x y z
1.0000000000E+00 1.0000000000E+00 1.1070571096E-02
2.0000000000E+00 1.0000000000E+00 1.5287179487E-02
3.0000000000E+00 1.0000000000E+00 1.5792540793E-02
4.0000000000E+00 1.0000000000E+00 1.3834265734E-02

1.0000000000E+00 2.0000000000E+00 1.3202564103E-02
2.0000000000E+00 2.0000000000E+00 1.5034498834E-02
3.0000000000E+00 2.0000000000E+00 1.6424242424E-02
4.0000000000E+00 2.0000000000E+00 1.7182284382E-02

1.0000000000E+00 3.0000000000E+00 1.5460897436E-02
2.0000000000E+00 3.0000000000E+00 1.7008566434E-02
3.0000000000E+00 3.0000000000E+00 1.5066083916E-02
4.0000000000E+00 3.0000000000E+00 1.6550582751E-02

1.0000000000E+00 4.0000000000E+00 1.6708508159E-02
2.0000000000E+00 4.0000000000E+00 1.9330069930E-02
3.0000000000E+00 4.0000000000E+00 1.9819638695E-02
4.0000000000E+00 4.0000000000E+00 1.9772261072E-02

