x y z
1.0000000000E+00 1.0000000000E+00 2.0530303030E-02
2.0000000000E+00 1.0000000000E+00 2.2725466200E-02
3.0000000000E+00 1.0000000000E+00 1.8603613054E-02
4.0000000000E+00 1.0000000000E+00 1.7419172494E-02

1.0000000000E+00 2.0000000000E+00 1.8429895105E-02
2.0000000000E+00 2.0000000000E+00 2.6689393939E-02
3.0000000000E+00 2.0000000000E+00 3.0700699301E-02
4.0000000000E+00 2.0000000000E+00 1.9203729604E-02

1.0000000000E+00 3.0000000000E+00 1.6692715618E-02
2.0000000000E+00 3.0000000000E+00 2.4225757576E-02
3.0000000000E+00 3.0000000000E+00 2.9058275058E-02
4.0000000000E+00 3.0000000000E+00 2.6105069930E-02

1.0000000000E+00 4.0000000000E+00 2.2520163170E-02
2.0000000000E+00 4.0000000000E+00 2.0198659674E-02
3.0000000000E+00 4.0000000000E+00 2.3025524476E-02
4.0000000000E+00 4.0000000000E+00 2.9058275058E-02

