x y z
1.0000000000E+00 1.0000000000E+00 2.6563053613E-02
2.0000000000E+00 1.0000000000E+00 2.6594638695E-02
3.0000000000E+00 1.0000000000E+00 2.8442365967E-02
4.0000000000E+00 1.0000000000E+00 2.5868181818E-02

1.0000000000E+00 2.0000000000E+00 3.0748076923E-02
2.0000000000E+00 2.0000000000E+00 3.6070163170E-02
3.0000000000E+00 2.0000000000E+00 3.6907167832E-02
4.0000000000E+00 2.0000000000E+00 3.0874417249E-02

1.0000000000E+00 3.0000000000E+00 3.2469463869E-02
2.0000000000E+00 3.0000000000E+00 3.6559731935E-02
3.0000000000E+00 3.0000000000E+00 4.2308216783E-02
4.0000000000E+00 3.0000000000E+00 3.3116958042E-02

1.0000000000E+00 4.0000000000E+00 3.4522494172E-02
2.0000000000E+00 4.0000000000E+00 3.7238811189E-02
3.0000000000E+00 4.0000000000E+00 3.4269813520E-02
4.0000000000E+00 4.0000000000E+00 3.7917890443E-02

