x y z
1.0000000000E+00 1.0000000000E+00 1.7340209790E-02
2.0000000000E+00 1.0000000000E+00 1.6171561772E-02
3.0000000000E+00 1.0000000000E+00 1.9945979021E-02
4.0000000000E+00 1.0000000000E+00 1.8224592075E-02

1.0000000000E+00 2.0000000000E+00 2.0167074592E-02
2.0000000000E+00 2.0000000000E+00 1.7513927739E-02
3.0000000000E+00 2.0000000000E+00 2.2141142191E-02
4.0000000000E+00 2.0000000000E+00 2.0893531469E-02

1.0000000000E+00 3.0000000000E+00 2.1809498834E-02
2.0000000000E+00 3.0000000000E+00 2.3751981352E-02
3.0000000000E+00 3.0000000000E+00 2.2346445221E-02
4.0000000000E+00 3.0000000000E+00 2.1019871795E-02

1.0000000000E+00 4.0000000000E+00 2.0435547786E-02
2.0000000000E+00 4.0000000000E+00 2.5899766900E-02
3.0000000000E+00 4.0000000000E+00 2.0956701632E-02
4.0000000000E+00 4.0000000000E+00 2.5141724942E-02

