x y z
1.000000000000000000e+00 4.000000000000000000e+00 1.827015039471002744e-01
1.000000000000000000e+00 5.111111111111110716e+00 8.309868084366066610e-01
1.000000000000000000e+00 6.222222222222222321e+00 2.898541466574825476e-01
1.000000000000000000e+00 7.333333333333333925e+00 8.776073693092989458e-02
1.000000000000000000e+00 8.444444444444444642e+00 8.310216988342824518e-01
1.000000000000000000e+00 9.555555555555555358e+00 9.349288290670354495e-02
1.000000000000000000e+00 1.066666666666666785e+01 1.215088384199959348e-01
1.000000000000000000e+00 1.177777777777777857e+01 1.929941331372231339e-02
1.000000000000000000e+00 1.288888888888888928e+01 7.037212805258798998e-01
1.000000000000000000e+00 1.400000000000000000e+01 9.889146236622785580e-01
2.000000000000000000e+00 4.000000000000000000e+00 2.736844568628632457e-01
2.000000000000000000e+00 5.111111111111110716e+00 3.269020603854438933e-01
2.000000000000000000e+00 6.222222222222222321e+00 2.797593002190055245e-01
2.000000000000000000e+00 7.333333333333333925e+00 9.323239498007618309e-02
2.000000000000000000e+00 8.444444444444444642e+00 3.363575976204414841e-01
2.000000000000000000e+00 9.555555555555555358e+00 5.758381670167012079e-01
2.000000000000000000e+00 1.066666666666666785e+01 8.107593143043519968e-01
2.000000000000000000e+00 1.177777777777777857e+01 6.606095869790773456e-01
2.000000000000000000e+00 1.288888888888888928e+01 6.829588163653538269e-01
2.000000000000000000e+00 1.400000000000000000e+01 7.457003459242173005e-01
3.000000000000000000e+00 4.000000000000000000e+00 5.230147265861340156e-01
3.000000000000000000e+00 5.111111111111110716e+00 4.490945367977340341e-01
3.000000000000000000e+00 6.222222222222222321e+00 7.096733025717929522e-01
3.000000000000000000e+00 7.333333333333333925e+00 6.397745174772756505e-01
3.000000000000000000e+00 8.444444444444444642e+00 3.522674822425975183e-01
3.000000000000000000e+00 9.555555555555555358e+00 4.367047569326855117e-01
3.000000000000000000e+00 1.066666666666666785e+01 2.588182098590257052e-01
3.000000000000000000e+00 1.177777777777777857e+01 1.682356573029446523e-01
3.000000000000000000e+00 1.288888888888888928e+01 6.239839890008382906e-01
3.000000000000000000e+00 1.400000000000000000e+01 6.776801892914762204e-01
4.000000000000000000e+00 4.000000000000000000e+00 8.879715070028644242e-01
4.000000000000000000e+00 5.111111111111110716e+00 1.933584403070019997e-01
4.000000000000000000e+00 6.222222222222222321e+00 6.836680906215121256e-01
4.000000000000000000e+00 7.333333333333333925e+00 4.833875765160922100e-02
4.000000000000000000e+00 8.444444444444444642e+00 9.079792353018327766e-01
4.000000000000000000e+00 9.555555555555555358e+00 9.991134261460127286e-01
4.000000000000000000e+00 1.066666666666666785e+01 2.303709974480727674e-02
4.000000000000000000e+00 1.177777777777777857e+01 4.347720850767260448e-01
4.000000000000000000e+00 1.288888888888888928e+01 8.523927567697268115e-01
4.000000000000000000e+00 1.400000000000000000e+01 4.393078099213598708e-02
5.000000000000000000e+00 4.000000000000000000e+00 4.871963029536930945e-01
5.000000000000000000e+00 5.111111111111110716e+00 4.948705914005400164e-01
5.000000000000000000e+00 6.222222222222222321e+00 9.979549538138063891e-01
5.000000000000000000e+00 7.333333333333333925e+00 2.158506320512751930e-01
5.000000000000000000e+00 8.444444444444444642e+00 2.304611270136333045e-01
5.000000000000000000e+00 9.555555555555555358e+00 6.996422716516348395e-02
5.000000000000000000e+00 1.066666666666666785e+01 6.269938792099237768e-01
